,logFC,AveExpr,t,P.Value,adj.P.Val,B
OR1E1,1.57842486173582,3.81272904721999,20.1700972908164,3.86335217993198E-19,1.22904270992722E-15,33.4726296005302
OR1E2,1.57842486173582,3.81272904721999,20.1700972908164,3.86335217993198E-19,1.22904270992722E-15,33.4726296005302
CTNNB1,4.09398878429974,5.22400880929142,19.8395370356663,6.9657913069476E-19,1.57789628545889E-15,32.9103971013835
CEP70,1.97987666499795,4.10556376196652,19.7420643181601,7.08561805855177E-19,1.57789628545889E-15,32.8956954368901
PGK2,1.86820616937628,4.28898983196898,19.3193718640539,1.30427940315098E-18,2.64045436625175E-15,32.3136057813258
LINC00184,2.00670235438445,3.48276613491577,18.8612975841543,2.55974656676107E-18,4.38484586886172E-15,31.6684729404041
CYCSP19,1.26352820797666,3.00935537709597,18.7925567945164,2.83569918809848E-18,4.51058465855464E-15,31.5703451802132
LINC01561,2.0203298010566,4.39154530704185,18.3735847612346,5.32932906635853E-18,7.41742681117113E-15,30.9646557523274
DRAIC,1.4868691221635,3.68277978691422,18.0949055663318,8.16313399440182E-18,9.57777592030924E-15,30.5544033670642
LINC00868,1.40885775920653,4.46744277442779,17.7148252064634,1.47333662392017E-17,1.44273416098748E-14,29.985108947752
HINT3,2.02831840089359,4.24131490867109,17.6740362769975,1.57070220740625E-17,1.44273416098748E-14,29.9233325389756
MIR302D,2.12633892131374,4.61418064009503,17.6544974815099,1.61966653305882E-17,1.44273416098748E-14,29.8936929421959
MIR302CHG,2.12633892131374,4.61418064009503,17.6544974815099,1.61966653305882E-17,1.44273416098748E-14,29.8936929421959
MIR367,2.12633892131374,4.61418064009503,17.6544974815099,1.61966653305882E-17,1.44273416098748E-14,29.8936929421959
PAX3,1.74788098293908,3.48218259097955,17.2543785216834,3.05599923938804E-17,2.61746334853586E-14,29.2799042039529
FAM182B,1.66915955576108,4.05945800247151,16.782498186918,6.56384361425861E-17,4.97093576998385E-14,28.538920095377
CPLX2,1.54490758460562,4.38420788824239,16.6054589173926,8.78376941477643E-17,6.30986326121472E-14,28.256009909714
MED18,3.20247030121345,4.42798077181328,15.7980367425111,3.76955955256036E-16,2.2687654507018E-13,26.8390979497127
VHL,1.87272911595075,6.07047835903787,15.5630842526528,5.1448682507179E-16,3.01502818619044E-13,26.5335245493808
LINC02637,1.71020587226109,4.46390691153399,15.5361945435282,5.39151591336245E-16,3.07855558652996E-13,26.4877640787859
RASL11A,2.47252675467614,4.67659701287652,15.1454092884623,1.16757154332653E-15,6.19063111865204E-13,25.7337709482082
PPP3R1,2.28334337541147,5.7389276380109,14.9774702282661,1.54492477516186E-15,7.64531773735101E-13,25.4589666124221
PIKFYVE,1.53401629466682,4.03064758884969,14.9008165087793,1.66119542661883E-15,7.97611774790713E-13,25.3862023800875
TUBA3FP,1.23055197248854,4.95400188115937,14.8751032856133,1.73994297488019E-15,8.07224793908476E-13,25.3407888834982
LINC00163,1.4240547998429,4.51682203513584,14.8552903817495,1.80323343384038E-15,8.19514394656966E-13,25.3057512087385
WNT7B,1.92005046126286,4.1189814621375,14.7715095848906,2.0981792178122E-15,9.34487060029197E-13,25.1571560902523
IL25,1.75124464213566,4.33136199453704,14.6824523236166,2.46655058202267E-15,1.07701205707966E-12,24.9984274288304
ADCY6,1.74159878775498,5.40602962543712,14.4745232797956,3.60888249465686E-15,1.51634347685875E-12,24.6246908964268
ERVH48-1,1.43633031302141,4.22978845561507,14.4127211167748,4.04432098539513E-15,1.60826757185293E-12,24.5127507464583
BAIAP3,1.69031771677033,5.29447732685813,14.3989254089431,4.1486899007549E-15,1.62082763859493E-12,24.48770914096
TMCC2,1.09429043254252,4.50170345576788,14.3004788932392,4.97858732552483E-15,1.87912137545953E-12,24.3084379001487
PPP4R1L,1.34708750476201,3.27943323047041,14.2301240064937,5.67484676946842E-15,2.08036866939803E-12,24.1797020759702
LINC01310,1.32931145952062,4.50693103806657,14.2278816964734,5.69861640995463E-15,2.08036866939803E-12,24.1755905545639
ATP1A1-AS1,1.36364385138227,4.13024384573406,14.2052754581475,5.94405064250734E-15,2.13496877029026E-12,24.1341100373072
CPVL-AS2,1.15623340595233,3.0001697363975,14.1736253205561,6.30606696995069E-15,2.2290445294259E-12,24.0759444282955
LVRN,1.03965937257976,3.52451222505649,14.1174018911207,7.00608462448346E-15,2.40028459234803E-12,23.972358260953
ZNF844,1.06851808012961,3.55357307480457,14.0899528952516,7.37639563702963E-15,2.48886294607595E-12,23.9216646969921
BOLA2,1.80580844623088,9.50935295726838,13.912720221349,1.03052711206417E-14,3.37482474390544E-12,23.5924151912246
NUTF2P2,1.80580844623088,9.50935295726838,13.912720221349,1.03052711206417E-14,3.37482474390544E-12,23.5924151912246
SMIM27,1.04149093873401,4.70652269926002,13.8639455692526,1.13047971364163E-14,3.59932260058525E-12,23.5012147040359
LINC02199,1.26762421648507,3.5353392806422,13.8532925594268,1.15360616844529E-14,3.61826137536735E-12,23.4812612271462
HTR5A,1.41046355001625,4.38630341420792,13.7823092765693,1.32064644809581E-14,4.02049677825539E-12,23.3479936133068
NEIL3,1.6699314911076,4.91537645082179,13.6991154700107,1.5484648013041E-14,4.58786957027419E-12,23.191104955184
LINC00628,1.33337662555857,4.0418946572852,13.69332423515,1.5657554777531E-14,4.58786957027419E-12,23.1801556309077
NOL10,1.22588402015011,3.92262902990987,13.6225932997163,1.79368044873809E-14,5.12095768114724E-12,23.0461304577779
MT-ND6,2.53089875061961,6.68423391121161,13.5797631015248,2.10829550379664E-14,5.79625093506757E-12,22.8895431162458
GTF2H5,2.53089875061961,6.68423391121161,13.5797631015248,2.10829550379664E-14,5.79625093506757E-12,22.8895431162458
FGF8,1.70961978677507,3.78977440219262,13.3924971666731,2.80092921508628E-14,7.51492683021162E-12,22.60631406637
CCNK,1.91932552422137,4.19339417771878,13.3740744442036,3.00897284568414E-14,7.80839553914944E-12,22.5369111832425
RSPH10B,2.39486676768964,6.28743943226056,13.3944613197907,3.01550144311308E-14,7.80839553914944E-12,22.5363385150492
RSPH10B2,2.39486676768964,6.28743943226056,13.3944613197907,3.01550144311308E-14,7.80839553914944E-12,22.5363385150492
DSPP,1.75532509480288,3.47812729191383,13.3051030973032,3.32862444337972E-14,8.52013077351987E-12,22.435933660539
KLK5,1.29325683458413,3.86555982576203,13.156708530724,4.44784631246581E-14,1.11291111834046E-11,22.1494801146025
KDM8,1.78912096271621,4.81461824645535,12.9310089585671,7.10193804230814E-14,1.63044389963051E-11,21.6875955118968
NEIL1,1.22236563975285,4.10331241221014,12.9104048326791,7.25620927199002E-14,1.6488624926321E-11,21.6655257461675
EME1,2.94054183029928,7.0591069725065,12.9192188007985,7.67663557791104E-14,1.7267777543889E-11,21.6128582556433
RUNX2,1.32361370080658,3.50085789856649,12.8460222703625,8.25548763826061E-14,1.80236719820025E-11,21.5378709978057
TET2,1.68294119283966,3.91338557125873,12.799386529091,9.07557324803297E-14,1.92749479586122E-11,21.4441854077253
TRIM7,1.29437731351764,4.02354169182907,12.6402738618066,1.25064370071163E-13,2.50906167307634E-11,21.1266845232895
LAMA4-AS1,1.26506732276886,3.69142173227655,12.6135893144862,1.32031766678285E-13,2.5835468654781E-11,21.0729918533322
TRAV20,1.26572062835028,4.14448571993232,12.6127489504107,1.32257552051957E-13,2.5835468654781E-11,21.0712995709242
TDRKH-AS1,1.3396882561985,4.73682869145552,12.2654581217847,2.69792239891727E-13,5.04874234466292E-11,20.364753160066
HS3ST6,0.958534933887201,3.65528563031795,12.2610241992935,2.722830838185E-13,5.05289332796181E-11,20.3556390932217
CCDC174,1.40533380074312,4.55719847335281,12.2050740355622,3.05821705256353E-13,5.53686467833637E-11,20.2404274924443
RPL10,1.33372911002572,4.27519185118538,12.137291842443,3.52203282273486E-13,6.20725098484406E-11,20.1003430748089
MAP4,1.68311183417045,6.17043270679238,12.1437811287183,3.53999225414341E-13,6.20725098484406E-11,20.0961852209793
SSH1,1.28747805065626,4.31099619027229,12.033179353876,4.3796196922238E-13,7.38861749440392E-11,19.884085055955
DNAJC9-AS1,1.01986474760914,3.80563609686775,12.0155920665575,4.54441441310204E-13,7.60898981694506E-11,19.8474225722689
GOLGA8Q,1.32502207734274,5.23684924813673,12.0025677882719,4.67054502072965E-13,7.70432348641694E-11,19.8202476881803
GOLGA8IP,1.32502207734274,5.23684924813673,12.0025677882719,4.67054502072965E-13,7.70432348641694E-11,19.8202476881803
EOLA2-DT,1.17927078670431,4.24977518120688,11.9976912263894,4.71869053980381E-13,7.72650879638905E-11,19.8100674853908
SMUG1,1.31478031474536,4.94955459944747,11.9823682708521,4.87331309267143E-13,7.92144593143796E-11,19.7780606098288
FYCO1,1.36189868135316,5.56839906790188,11.9675835199551,5.02743615591736E-13,8.05438674504486E-11,19.7471505837135
NEIL2,1.04799429018282,4.28714782147226,11.9269330562755,5.47750696287466E-13,8.52997220673117E-11,19.6620251820876
AMBRA1,1.114566957494,7.28311121134171,11.9150788350874,5.61639147151752E-13,8.62561528822232E-11,19.6371631044525
SCART1,1.06460331224107,4.33766385075466,11.9020980972442,5.77262584968475E-13,8.80483596209793E-11,19.6099184636467
LTA,1.1851371431134,5.03736643654663,11.8693417554988,6.18701518999103E-13,9.29121768689614E-11,19.5410751832416
LINC02226,0.899711015623207,4.04950670473853,11.8670842282835,6.21667535743646E-13,9.29121768689614E-11,19.5363256986067
MIP,1.07906821625142,4.24590732230408,11.7315351796145,8.2936608091425E-13,1.19155827457287E-10,19.2499922562446
GTF3C2-AS1,1.34346633209969,3.82435145612203,11.7181713685467,8.53374569244577E-13,1.21819219759663E-10,19.2216386886118
DTWD2,1.06647075022208,5.43574405156625,11.713905233404,8.61188047781032E-13,1.22151570930164E-10,19.2125826706918
PPA2,1.4413629404227,4.06887787635388,11.7011550201769,8.84980629323777E-13,1.2473185844564E-10,19.1855033623251
SMTN,1.1430542993235,4.77607754878895,11.676229203564,9.33460932587365E-13,1.3073736797351E-10,19.1325063984939
PYM1,1.42088016049383,7.57667729164185,11.6675457745478,9.5098307183335E-13,1.32359012666605E-10,19.1140255336768
GRK1,1.56148651466456,4.20743237656542,11.666756219973,9.58905131817885E-13,1.32632660748152E-10,19.1061234869771
HOATZ,1.02338307757192,3.66757675838967,11.6024307946315,1.09360886108539E-12,1.48307132142583E-10,18.9751405835142
ACRV1,1.12026171581612,3.70620624598367,11.5757137504018,1.15831537871715E-12,1.55388705835254E-10,18.9180011657857
C1orf68,1.29823694212662,4.39306023770028,11.5693926124984,1.17419119156902E-12,1.55643235982443E-10,18.904469080498
PRCD,0.864754756860707,4.9631948850569,11.5533707290158,1.21543849612289E-12,1.60157395681424E-10,18.8701474042008
NPAS1,1.0800354606008,4.65885047516949,11.5069691758169,1.34348757948657E-12,1.74104704657299E-10,18.7705644496075
MSH6,1.04939130403567,3.26854322025083,11.5065381752321,1.34473973690132E-12,1.74104704657299E-10,18.7696381991126
LINC00208,0.831930235520637,4.01535184985939,11.5014200671075,1.35970087658646E-12,1.74151570762643E-10,18.758637230341
SYCE1,0.964774741416347,3.21360068922231,11.4772281508767,1.43276352453084E-12,1.81409451877867E-10,18.7065937716603
FAM163B,0.968051194537682,4.92700439117577,11.4769119112288,1.43374482601395E-12,1.81409451877867E-10,18.7059129628177
DNAH5,1.22968547814272,4.34358636748305,11.38152995411,1.76357939346627E-12,2.20635671421912E-10,18.4999933332232
TMCO6,2.32584593155763,5.61593942578229,11.3904287824296,1.83989046014404E-12,2.28896763446635E-10,18.4612118523009
SLC12A1,1.35464753255681,4.02726731347651,11.2843380520346,2.1803063199601E-12,2.63876312169519E-10,18.2889750854759
PLLP,1.79727562068019,3.90302271831561,11.2932694282417,2.25634892766657E-12,2.71603428487605E-10,18.2578357820269
TACC3,1.03725967085707,3.97493310584195,11.2560665259726,2.31957428496909E-12,2.77712901892348E-10,18.2273667323716
GAS2L1,1.18485903139901,4.6117211380984,11.252230184674,2.33916324464765E-12,2.78560568422772E-10,18.2189988200361
RABL3,1.59866418558942,5.78148609813363,11.2411854126027,2.45941120367758E-12,2.91322489865405E-10,18.1705578516611
LINC03008,1.65410128003244,4.47253546623886,11.2377946865048,2.49676256326187E-12,2.94182039795125E-10,18.1559844808267
TSACC,0.934079078147164,5.56161048528436,11.1730491779863,2.78366282843302E-12,3.19706327323483E-10,18.0458657601213
TTC34,1.02652648484849,3.72697360344059,11.1370433211143,3.01359348900021E-12,3.42396496972172E-10,17.966870633187
LINC02871,1.19175603058272,3.90841854125723,11.0556501426441,3.60792221457759E-12,4.00407611317314E-10,17.7876816698726
RANBP17,1.32262538912137,5.44919943007968,11.0456298177478,3.68897369143684E-12,4.06681956111915E-10,17.7655624998116
ZBTB7A,1.37060264248871,5.24863106606238,11.0153450748821,3.94547239255874E-12,4.32816377881234E-10,17.698632004874
CFAP73,2.11590421919298,4.94301057672788,11.0159718940869,4.17800680132326E-12,4.55117714678506E-10,17.6449957784658
SOGA3,1.11167845623448,4.32183187909887,10.8951523383046,5.15760779295121E-12,5.49108240525446E-10,17.4318272908818
LIPE-AS1,1.54335065334799,4.48658644955191,10.9036756350637,5.17817281918109E-12,5.49108240525446E-10,17.4292164406071
TRBV10-2,0.889616389834879,4.31540634127125,10.8861824356833,5.26214380588369E-12,5.55368153617175E-10,17.4118404517786
SIPA1L3,1.84860121532396,6.07822169697691,10.907908619581,5.31069683770586E-12,5.5784862207015E-10,17.4060852326293
MAGEC1,0.74684798260699,3.08345856791865,10.707995583172,7.8556253044984E-12,8.0246293534805E-10,17.0126228365181
LPAR3,1.11857479071558,4.08265978551661,10.6313663518416,9.34438127245957E-12,9.45863757074555E-10,16.839658446708
RASGEF1B,1.17221877914019,3.46871445746101,10.5806148508753,1.04868585480201E-11,1.05194528381018E-09,16.7246784122083
DLK2,1.09853853457836,4.85087201939387,10.5543909809126,1.11323164408973E-11,1.10672122688546E-09,16.6651337241173
GALR1,0.941689630592642,3.39969261642269,10.5457108567998,1.13548159604192E-11,1.12382398498923E-09,16.6454043645835
ERBB3,1.31775472033857,4.63313365068539,10.5353715783047,1.16258008257468E-11,1.14555291410865E-09,16.6218908564714
COX7A2L,1.04060134148975,9.93156647129073,10.4608166575322,1.37865869600739E-11,1.33484132614733E-09,16.4519198024803
NMNAT1,1.62394078317351,5.57746584846915,10.4148929071177,1.59989830347066E-11,1.51609086468034E-09,16.3062587608581
PDX1,1.06879375068821,4.21167049015465,10.3550063123411,1.75815134143256E-11,1.65199460853846E-09,16.2094267116754
MFSD12,0.895942697764561,4.24524696789829,10.3401880596539,1.81925942123983E-11,1.70223059040294E-09,16.1753478760435
CALHM6-AS1,2.95888081029049,4.61872287980548,10.356714428166,1.84694405817124E-11,1.71373321797564E-09,16.1636898069431
ESR2,1.29312546435422,4.31485414125558,10.287438270598,2.05501645896633E-11,1.87553940675087E-09,16.0537972685735
HORMAD2,0.92583355239435,3.31684774968986,10.2678918137583,2.15012881090576E-11,1.94639099553091E-09,16.0086624775686
LAMA5-AS1,1.3551107675151,5.03130038054484,10.2383695074094,2.30656607889576E-11,2.07955141744654E-09,15.9387133227163
RPLP0P1,1.28278304838571,4.97926731207696,10.2256929879833,2.37114335964324E-11,2.12915288209255E-09,15.9110472163156
MCPH1-DT,1.21900123762225,3.49096571710868,10.1985594332758,2.52541829078932E-11,2.24954159670349E-09,15.848155683662
LRTM2,1.33705715697488,4.59633206879903,10.1726065694377,2.68428647379393E-11,2.37207839225862E-09,15.7873235391637
SLC8A3,0.76577355246309,4.10063955302375,10.1620926487959,2.74909791388857E-11,2.41974946420492E-09,15.7634761354959
SCN8A,0.888422887420516,3.95006693539275,10.1545046172937,2.79813573704639E-11,2.45321593418449E-09,15.7458336101834
BANF2,0.839460873844785,3.56925716275931,10.1351106495409,2.92758034074742E-11,2.54665182062907E-09,15.7007067283786
LMAN1L,1.08580977686624,5.37184739130812,10.0878210817726,3.26954192596487E-11,2.78963330073991E-09,15.590459845823
COPS9,0.935030074288031,3.78671999179971,10.0751831135151,3.3676748858317E-11,2.85151148412875E-09,15.5609460326221
AMELY,0.805216222193561,3.80695899018309,10.0667053282433,3.43518935378517E-11,2.8976602924031E-09,15.5411356188669
ARID1A,1.23961195127927,4.39166961943263,10.0410891927708,3.64772989300592E-11,3.06533196178675E-09,15.4812187223882
SIX5,1.51522326667713,5.01290669466177,10.0283349943013,3.88962594368221E-11,3.24412285168011E-09,15.4194389490445
PCDHAC1,0.898535250728857,4.09720550164929,10.0040645685186,3.97897728503203E-11,3.29397193904752E-09,15.3944614842864
MPG,1.18794557388546,4.01552262610383,9.99361070886121,4.07796758284861E-11,3.3634170408317E-09,15.369932373867
PTGDR2,1.30435211576961,5.57992884566079,9.98973127886079,4.11534105875058E-11,3.36928419254841E-09,15.3608258822392
ASB8,1.18125972604927,6.10485794571028,9.94964442684129,4.52268423130494E-11,3.67575383747918E-09,15.2666085116473
RAPGEF1,0.760584856287847,3.53724452200501,9.93029472804282,4.73385092742544E-11,3.83338641101226E-09,15.2210530607207
OR4A1P,1.08740863884014,3.68360538348483,9.92749931362049,4.76518141890272E-11,3.84168539875345E-09,15.2144675909771
PRDM6-AS1,1.16476743692504,5.1826827833575,9.91733876554977,4.88085751137349E-11,3.89576401149736E-09,15.1905224064739
ZNF611,0.764691572072777,3.03003745382902,9.8930936792699,5.16863654159577E-11,4.08157330300696E-09,15.133328363911
NBPF2P,1.53904184926433,4.94961515678383,9.90412836675254,5.23836940945398E-11,4.12202291092335E-09,15.122657090987
MIR615,1.19278180774468,5.10642298492723,9.87948113879273,5.3377656667226E-11,4.15673012333366E-09,15.1011817947391
